wavelength,reflectance
381.450012,0.01518
386.459991,0.012192
391.470001,0.017169
396.470001,0.017884
401.480011,0.022171
406.48999,0.023398
411.5,0.025312
416.51001,0.027861
421.519989,0.028878
426.529999,0.029757
431.540009,0.033389
436.540009,0.03321
441.549988,0.035854
446.559998,0.03723
451.570007,0.038483
456.579987,0.038918
461.589996,0.040898
466.600006,0.041096
471.600006,0.042334
476.609985,0.042375
481.619995,0.043047
486.630005,0.044298
491.640015,0.043907
496.649994,0.044523
501.660004,0.046604
506.670013,0.04755
511.670013,0.049427
516.679993,0.054327
521.690002,0.059709
526.700012,0.06499
531.710022,0.069561
536.719971,0.073094
541.72998,0.075092
546.72998,0.077138
551.73999,0.079019
556.75,0.078368
561.76001,0.077729
566.77002,0.074315
571.780029,0.071775
576.789978,0.068307
581.799988,0.065726
586.799988,0.064942
591.809998,0.064015
596.820007,0.062601
601.830017,0.061991
606.840027,0.06133
611.849976,0.058711
616.859985,0.056777
621.859985,0.055781
626.869995,0.055312
631.880005,0.055311
636.890015,0.054943
641.900024,0.054259
646.909973,0.053149
651.919983,0.051801
656.929993,0.051988
661.929993,0.050095
666.940002,0.049507
671.950012,0.048527
676.960022,0.047826
681.969971,0.04868
686.97998,0.0514
691.98999,0.058568
696.98999,0.073394
702.0,0.098151
707.01001,0.122684
712.02002,0.142196
717.030029,0.161957
722.039978,0.174939
727.049988,0.186192
732.059998,0.194887
737.059998,0.201419
742.070007,0.207525
747.080017,0.21198
752.090027,0.216533
757.099976,0.218953
762.109985,0.220587
767.119995,0.221714
772.119995,0.224075
777.130005,0.226728
782.140015,0.229382
787.150024,0.231236
792.159973,0.23344
797.169983,0.234096
802.179993,0.235229
807.190002,0.236624
812.190002,0.238861
817.200012,0.24186
822.210022,0.240988
827.219971,0.240583
832.22998,0.242633
837.23999,0.241842
842.25,0.243896
847.25,0.244255
852.26001,0.244293
857.27002,0.24419
862.280029,0.245286
867.289978,0.245837
872.299988,0.243818
877.309998,0.24618
882.320007,0.245971
887.320007,0.246496
892.330017,0.248305
897.340027,0.249065
902.349976,0.249795
907.359985,0.25238
912.369995,0.251975
917.380005,0.252054
922.390015,0.253231
927.390015,0.254082
932.400024,0.257559
937.409973,0.258444
942.419983,0.257124
947.429993,0.257188
952.440002,0.254943
957.450012,0.252383
962.450012,0.251909
967.460022,0.251815
972.469971,0.252703
977.47998,0.254112
982.48999,0.253173
987.5,0.25618
992.51001,0.255715
997.52002,0.256916
1002.52002,0.25972
1007.530029,0.259485
1012.539978,0.260182
1017.549988,0.26267
1022.559998,0.265109
1027.569946,0.265627
1032.579956,0.265275
1037.579956,0.26718
1042.589966,0.26646
1047.599976,0.268845
1052.609985,0.267554
1057.619995,0.269759
1062.630005,0.269159
1067.640015,0.268376
1072.650024,0.271308
1077.650024,0.268837
1082.660034,0.269075
1087.670044,0.269528
1092.680054,0.270373
1097.689941,0.270642
1102.699951,0.268545
1107.709961,0.268136
1112.709961,0.268991
1117.719971,0.271423
1122.72998,0.272174
1127.73999,0.26918
1132.75,0.27001
1137.76001,0.261012
1142.77002,0.260809
1147.780029,0.256802
1152.780029,0.253498
1157.790039,0.250619
1162.800049,0.249555
1167.810059,0.249493
1172.819946,0.251345
1177.829956,0.252853
1182.839966,0.254542
1187.839966,0.254313
1192.849976,0.254626
1197.859985,0.256115
1202.869995,0.252362
1207.880005,0.251865
1212.890015,0.253341
1217.900024,0.253512
1222.910034,0.253766
1227.910034,0.253856
1232.920044,0.254571
1237.930054,0.255248
1242.939941,0.256489
1247.949951,0.257243
1252.959961,0.257362
1257.969971,0.257046
1262.969971,0.256418
1267.97998,0.256539
1272.98999,0.256442
1278.0,0.255193
1283.01001,0.257859
1288.02002,0.255046
1293.030029,0.254341
1298.040039,0.253122
1303.040039,0.251113
1308.050049,0.248227
1313.060059,0.244832
1318.069946,0.243913
1323.079956,0.240589
1328.089966,0.24088
1333.099976,0.232752
1338.099976,0.229592
1343.109985,0.224462
1433.27002,0.079501
1438.280029,0.07613
1443.290039,0.076456
1448.300049,0.070143
1453.300049,0.063753
1458.310059,0.064379
1463.319946,0.06527
1468.329956,0.070975
1473.339966,0.070478
1478.349976,0.073185
1483.359985,0.072608
1488.359985,0.075462
1493.369995,0.077128
1498.380005,0.081572
1503.390015,0.085818
1508.400024,0.08908
1513.410034,0.094325
1518.420044,0.098975
1523.430054,0.103991
1528.430054,0.108871
1533.439941,0.11336
1538.449951,0.119053
