wavelength,reflectance
381.450012,-0.021623
386.459991,-0.012733
391.470001,-0.0063
396.470001,-0.004118
401.480011,0.001811
406.48999,0.003846
411.5,0.005912
416.51001,0.008965
421.519989,0.01105
426.529999,0.012801
431.540009,0.018834
436.540009,0.018467
441.549988,0.021592
446.559998,0.023765
451.570007,0.025774
456.579987,0.027404
461.589996,0.029643
466.600006,0.031021
471.600006,0.032453
476.609985,0.033643
481.619995,0.035191
486.630005,0.03691
491.640015,0.037682
496.649994,0.037384
501.660004,0.039584
506.670013,0.040516
511.670013,0.042825
516.679993,0.047251
521.690002,0.049484
526.700012,0.053233
531.710022,0.056343
536.719971,0.058199
541.72998,0.059771
546.72998,0.06139
551.73999,0.062811
556.75,0.062652
561.76001,0.062699
566.77002,0.061574
571.780029,0.0595
576.789978,0.057914
581.799988,0.057535
586.799988,0.057086
591.809998,0.059107
596.820007,0.057658
601.830017,0.057469
606.840027,0.056357
611.849976,0.054854
616.859985,0.0542
621.859985,0.053502
626.869995,0.052921
631.880005,0.05325
636.890015,0.053224
641.900024,0.053062
646.909973,0.053321
651.919983,0.052413
656.929993,0.05131
661.929993,0.050078
666.940002,0.049486
671.950012,0.04849
676.960022,0.047547
681.969971,0.048096
686.97998,0.051589
691.98999,0.056108
696.98999,0.063446
702.0,0.074444
707.01001,0.0856
712.02002,0.097716
717.030029,0.108033
722.039978,0.121236
727.049988,0.134696
732.059998,0.144651
737.059998,0.153343
742.070007,0.161713
747.080017,0.167399
752.090027,0.171584
757.099976,0.172557
762.109985,0.176229
767.119995,0.178438
772.119995,0.180438
777.130005,0.182123
782.140015,0.183053
787.150024,0.185053
792.159973,0.18591
797.169983,0.186449
802.179993,0.189118
807.190002,0.187491
812.190002,0.188137
817.200012,0.191008
822.210022,0.189929
827.219971,0.191272
832.22998,0.19265
837.23999,0.192119
842.25,0.192149
847.25,0.191601
852.26001,0.193826
857.27002,0.194295
862.280029,0.193976
867.289978,0.195052
872.299988,0.194795
877.309998,0.195596
882.320007,0.19584
887.320007,0.197098
892.330017,0.195901
897.340027,0.197248
902.349976,0.198372
907.359985,0.198
912.369995,0.198442
917.380005,0.199874
922.390015,0.19726
927.390015,0.195339
932.400024,0.207484
937.409973,0.212714
942.419983,0.200129
947.429993,0.202019
952.440002,0.199242
957.450012,0.197539
962.450012,0.195326
967.460022,0.195382
972.469971,0.194916
977.47998,0.19612
982.48999,0.195521
987.5,0.197088
992.51001,0.197027
997.52002,0.197781
1002.52002,0.199147
1007.530029,0.200547
1012.539978,0.201345
1017.549988,0.203687
1022.559998,0.205466
1027.569946,0.205887
1032.579956,0.206153
1037.579956,0.20727
1042.589966,0.207623
1047.599976,0.207307
1052.609985,0.20702
1057.619995,0.209574
1062.630005,0.209905
1067.640015,0.209053
1072.650024,0.208509
1077.650024,0.209212
1082.660034,0.210576
1087.670044,0.209845
1092.680054,0.210059
1097.689941,0.210252
1102.699951,0.210486
1107.709961,0.20646
1112.709961,0.20326
1117.719971,0.207727
1122.72998,0.214539
1127.73999,0.214804
1132.75,0.20144
1137.76001,0.195594
1142.77002,0.192286
1147.780029,0.195474
1152.780029,0.188162
1157.790039,0.183555
1162.800049,0.182392
1167.810059,0.185655
1172.819946,0.186362
1177.829956,0.186456
1182.839966,0.188278
1187.839966,0.187736
1192.849976,0.188279
1197.859985,0.190183
1202.869995,0.187143
1207.880005,0.186034
1212.890015,0.186399
1217.900024,0.186912
1222.910034,0.186925
1227.910034,0.187907
1232.920044,0.189595
1237.930054,0.189135
1242.939941,0.189294
1247.949951,0.189888
1252.959961,0.189472
1257.969971,0.188032
1262.969971,0.186537
1267.97998,0.187615
1272.98999,0.1879
1278.0,0.186945
1283.01001,0.18743
1288.02002,0.187852
1293.030029,0.185566
1298.040039,0.18406
1303.040039,0.183451
1308.050049,0.181227
1313.060059,0.178244
1318.069946,0.176137
1323.079956,0.172671
1328.089966,0.168061
1333.099976,0.165873
1338.099976,0.158997
1343.109985,0.14824
1433.27002,0.083194
1438.280029,0.095613
1443.290039,0.093843
1448.300049,0.0772
1453.300049,0.076137
1458.310059,0.072836
1463.319946,0.072284
1468.329956,0.08003
1473.339966,0.078974
1478.349976,0.076745
1483.359985,0.078252
1488.359985,0.078837
1493.369995,0.078733
1498.380005,0.08105
1503.390015,0.083306
1508.400024,0.085892
1513.410034,0.088
1518.420044,0.091319
1523.430054,0.09392
1528.430054,0.095922
1533.439941,0.099577
1538.449951,0.102343
1543.459961,0.104648
1548.469971,0.105893
1553.47998,0.107788
1558.48999,0.110379
1563.48999,0.112319
1568.5,0.11414
1573.51001,0.117357
1578.52002,0.119056
1583.530029,0.121043
1588.540039,0.122508
1593.550049,0.123954
1598.560059,0.126656
1603.560059,0.129297
1608.569946,0.130049
1613.579956,0.130768
1618.589966,0.132478
1623.599976,0.133423
1628.609985,0.134826
1633.619995,0.135402
1638.619995,0.137179
1643.630005,0.137774
1648.640015,0.138597
1653.650024,0.13887
1658.660034,0.139968
1663.670044,0.139004
1668.680054,0.138948
1673.689941,0.138011
1678.689941,0.138975
1683.699951,0.138484
1688.709961,0.137303
1693.719971,0.136258
1698.72998,0.136099
1703.73999,0.134992
1708.75,0.134667
1713.75,0.133767
1718.76001,0.13242
1723.77002,0.131089
1728.780029,0.130295
1733.790039,0.128282
1738.800049,0.127783
1743.810059,0.125869
1748.819946,0.124608
1753.819946,0.121898
1758.829956,0.120151
1763.839966,0.116719
1768.849976,0.114346
1773.859985,0.111179
1954.170044,0.043505
1959.180054,0.051466
1964.189941,0.045673
1969.199951,0.038107
1974.209961,0.039753
1979.209961,0.040219
1984.219971,0.040542
1989.22998,0.041308
1994.23999,0.040191
1999.25,0.04358
2004.26001,0.047876
2009.27002,0.04743
2014.280029,0.047593
2019.280029,0.051337
2024.290039,0.047806
2029.300049,0.047152
2034.310059,0.049227
2039.319946,0.050389
2044.329956,0.051696
2049.340088,0.052297
2054.340088,0.055308
2059.350098,0.055522
2064.360107,0.056501
2069.370117,0.055269
2074.379883,0.056585
2079.389893,0.058603
2084.399902,0.058405
2089.409912,0.059446
2094.409912,0.060319
2099.419922,0.062538
2104.429932,0.063491
2109.439941,0.063036
2114.449951,0.064023
2119.459961,0.065482
2124.469971,0.065958
2129.469971,0.067761
2134.47998,0.067864
2139.48999,0.067209
2144.5,0.068085
2149.51001,0.0696
2154.52002,0.070048
2159.530029,0.069787
2164.540039,0.070288
2169.540039,0.070547
2174.550049,0.071299
2179.560059,0.071576
2184.570068,0.072476
2189.580078,0.071749
2194.590088,0.071244
2199.600098,0.072429
2204.600098,0.07251
2209.610107,0.071854
2214.620117,0.072649
2219.629883,0.071753
2224.639893,0.071446
2229.649902,0.071159
2234.659912,0.071364
2239.669922,0.068727
2244.669922,0.067408
2249.679932,0.066079
2254.689941,0.064939
2259.699951,0.063693
2264.709961,0.061377
2269.719971,0.060699
2274.72998,0.059915
2279.72998,0.059025
2284.73999,0.058348
2289.75,0.057056
2294.76001,0.055553
2299.77002,0.056008
2304.780029,0.054442
2309.790039,0.052676
2314.800049,0.0529
2319.800049,0.051233
2324.810059,0.050298
2329.820068,0.050179
2334.830078,0.049023
2339.840088,0.049417
2344.850098,0.045664
2349.860107,0.045732
2354.860107,0.04597
2359.870117,0.044184
2364.879883,0.040864
2369.889893,0.043443
2374.899902,0.043675
2379.909912,0.041481
2384.919922,0.040533
2389.929932,0.03989
2394.929932,0.038384
2399.939941,0.035137
2404.949951,0.035485
2409.959961,0.035383
2414.969971,0.034056
2419.97998,0.035207
2424.98999,0.032739
2429.98999,0.030869
2435.0,0.032787
2440.01001,0.030178
2445.02002,0.027728
2450.030029,0.0286
2455.040039,0.027109
2460.050049,0.021717
2465.060059,0.023185
2470.060059,0.022457
2475.070068,0.026398
2480.080078,0.02702
2485.090088,0.058748
2490.100098,0.064554
2495.110107,0.057275
2500.120117,0.027264
