wavelength,reflectance
381.450012,-7.2e-05
386.459991,0.002772
391.470001,0.007863
396.470001,0.010647
401.480011,0.012516
406.48999,0.01521
411.5,0.018447
416.51001,0.021164
421.519989,0.023387
426.529999,0.026138
431.540009,0.029991
436.540009,0.030804
441.549988,0.033555
446.559998,0.036056
451.570007,0.038412
456.579987,0.040112
461.589996,0.04275
466.600006,0.044243
471.600006,0.045974
476.609985,0.047817
481.619995,0.0495
486.630005,0.051518
491.640015,0.052275
496.649994,0.054165
501.660004,0.056046
506.670013,0.057144
511.670013,0.059687
516.679993,0.062615
521.690002,0.065167
526.700012,0.067799
531.710022,0.070459
536.719971,0.073312
541.72998,0.075508
546.72998,0.078816
551.73999,0.082001
556.75,0.084905
561.76001,0.088441
566.77002,0.092358
571.780029,0.094988
576.789978,0.098847
581.799988,0.102218
586.799988,0.106106
591.809998,0.110622
596.820007,0.112414
601.830017,0.114991
606.840027,0.117065
611.849976,0.119712
616.859985,0.120788
621.859985,0.12294
626.869995,0.124326
631.880005,0.12679
636.890015,0.128402
641.900024,0.129661
646.909973,0.131832
651.919983,0.133493
656.929993,0.135328
661.929993,0.136656
666.940002,0.138597
671.950012,0.139927
676.960022,0.141337
681.969971,0.143967
686.97998,0.146058
691.98999,0.151369
696.98999,0.156205
702.0,0.160212
707.01001,0.164632
712.02002,0.169039
717.030029,0.175912
722.039978,0.181171
727.049988,0.185284
732.059998,0.188811
737.059998,0.191178
742.070007,0.194356
747.080017,0.195838
752.090027,0.197383
757.099976,0.201912
762.109985,0.201693
767.119995,0.202668
772.119995,0.204825
777.130005,0.205556
782.140015,0.207571
787.150024,0.208621
792.159973,0.210042
797.169983,0.210464
802.179993,0.211598
807.190002,0.212192
812.190002,0.213201
817.200012,0.216499
822.210022,0.216069
827.219971,0.215695
832.22998,0.216264
837.23999,0.216477
842.25,0.216157
847.25,0.216689
852.26001,0.216755
857.27002,0.217809
862.280029,0.217314
867.289978,0.218173
872.299988,0.21805
877.309998,0.218838
882.320007,0.220006
887.320007,0.22116
892.330017,0.219993
897.340027,0.22284
902.349976,0.224153
907.359985,0.224929
912.369995,0.226421
917.380005,0.226578
922.390015,0.226372
927.390015,0.227312
932.400024,0.237559
937.409973,0.244944
942.419983,0.237659
947.429993,0.236933
952.440002,0.236426
957.450012,0.237932
962.450012,0.23756
967.460022,0.234744
972.469971,0.236056
977.47998,0.240298
982.48999,0.239587
987.5,0.240016
992.51001,0.241867
997.52002,0.242643
1002.52002,0.244823
1007.530029,0.246975
1012.539978,0.247321
1017.549988,0.238819
1022.559998,0.25062
1027.569946,0.251551
1032.579956,0.253368
1037.579956,0.255118
1042.589966,0.254329
1047.599976,0.256782
1052.609985,0.25779
1057.619995,0.258507
1062.630005,0.261095
1067.640015,0.261444
1072.650024,0.262338
1077.650024,0.26296
1082.660034,0.264376
1087.670044,0.266137
1092.680054,0.267047
1097.689941,0.268922
1102.699951,0.269829
1107.709961,0.268956
1112.709961,0.268511
1117.719971,0.275245
1122.72998,0.276319
1127.73999,0.282491
1132.75,0.263147
1137.76001,0.262739
1142.77002,0.269266
1147.780029,0.273903
1152.780029,0.272895
1157.790039,0.275019
1162.800049,0.275217
1167.810059,0.277426
1172.819946,0.279083
1177.829956,0.282886
1182.839966,0.284933
1187.839966,0.285791
1192.849976,0.287534
1197.859985,0.289715
1202.869995,0.287224
1207.880005,0.285578
1212.890015,0.287198
1217.900024,0.288377
1222.910034,0.288535
1227.910034,0.289596
1232.920044,0.290869
1237.930054,0.291638
1242.939941,0.292646
1247.949951,0.293752
1252.959961,0.296469
1257.969971,0.298085
1262.969971,0.301901
1267.97998,0.301132
1272.98999,0.300334
1278.0,0.297386
1283.01001,0.29682
1288.02002,0.295508
1293.030029,0.293724
1298.040039,0.294859
1303.040039,0.294863
1308.050049,0.29543
1313.060059,0.296087
1318.069946,0.295057
1323.079956,0.294201
1328.089966,0.290154
1333.099976,0.290257
1338.099976,0.287916
1343.109985,0.273713
1433.27002,0.283069
1438.280029,0.279049
1443.290039,0.293711
1448.300049,0.282221
1453.300049,0.283401
1458.310059,0.284717
1463.319946,0.292769
1468.329956,0.285473
1473.339966,0.290646
1478.349976,0.290785
1483.359985,0.298959
1488.359985,0.302631
1493.369995,0.305959
1498.380005,0.30644
1503.390015,0.31269
1508.400024,0.312095
1513.410034,0.314656
1518.420044,0.315298
1523.430054,0.317902
1528.430054,0.318804
1533.439941,0.318871
1538.449951,0.319213
1543.459961,0.324192
1548.469971,0.323988
1553.47998,0.322105
1558.48999,0.325712
1563.48999,0.326558
1568.5,0.327236
1573.51001,0.328491
1578.52002,0.330428
1583.530029,0.330298
1588.540039,0.331489
1593.550049,0.333495
1598.560059,0.336127
1603.560059,0.333349
1608.569946,0.336663
1613.579956,0.335279
1618.589966,0.334685
1623.599976,0.337167
1628.609985,0.337809
1633.619995,0.338761
1638.619995,0.336842
1643.630005,0.340334
1648.640015,0.340741
1653.650024,0.339227
1658.660034,0.341864
1663.670044,0.341463
1668.680054,0.341155
1673.689941,0.342439
1678.689941,0.342532
1683.699951,0.342759
1688.709961,0.342617
1693.719971,0.342578
1698.72998,0.343294
1703.73999,0.343284
1708.75,0.343547
1713.75,0.342527
1718.76001,0.340419
1723.77002,0.340978
1728.780029,0.34186
1733.790039,0.340686
1738.800049,0.340919
1743.810059,0.339928
1748.819946,0.342072
1753.819946,0.337747
1758.829956,0.337996
1763.839966,0.333743
1768.849976,0.329961
1773.859985,0.324301
1954.170044,0.250695
1959.180054,0.285216
1964.189941,0.28787
1969.199951,0.275402
1974.209961,0.279679
1979.209961,0.283671
1984.219971,0.284959
1989.22998,0.281993
1994.23999,0.286793
1999.25,0.287041
2004.26001,0.307499
2009.27002,0.296771
2014.280029,0.305079
2019.280029,0.301915
2024.290039,0.296298
2029.300049,0.299875
2034.310059,0.303237
2039.319946,0.305291
2044.329956,0.311204
2049.340088,0.311805
2054.340088,0.318266
2059.350098,0.317716
2064.360107,0.320095
2069.370117,0.317357
2074.379883,0.3196
2079.389893,0.316874
2084.399902,0.318873
2089.409912,0.318679
2094.409912,0.317596
2099.419922,0.321724
2104.429932,0.320498
2109.439941,0.321076
2114.449951,0.318381
2119.459961,0.320367
2124.469971,0.317704
2129.469971,0.318187
2134.47998,0.3153
2139.48999,0.311944
2144.5,0.308787
2149.51001,0.30568
2154.52002,0.302936
2159.530029,0.294613
2164.540039,0.292568
2169.540039,0.289464
2174.550049,0.286381
2179.560059,0.283504
2184.570068,0.281621
2189.580078,0.279056
2194.590088,0.271427
2199.600098,0.267043
2204.600098,0.259457
2209.610107,0.263597
2214.620117,0.271975
2219.629883,0.277694
2224.639893,0.281476
2229.649902,0.286698
2234.659912,0.284406
2239.669922,0.282345
2244.669922,0.281443
2249.679932,0.279453
2254.689941,0.279937
2259.699951,0.277268
2264.709961,0.276302
2269.719971,0.273945
2274.72998,0.272126
2279.72998,0.269347
2284.73999,0.26596
2289.75,0.263585
2294.76001,0.261581
2299.77002,0.259127
2304.780029,0.255784
2309.790039,0.25076
2314.800049,0.248447
2319.800049,0.246827
2324.810059,0.246009
2329.820068,0.243233
2334.830078,0.241863
2339.840088,0.237903
2344.850098,0.236314
2349.860107,0.232214
2354.860107,0.23145
2359.870117,0.226039
2364.879883,0.220562
2369.889893,0.222519
2374.899902,0.212901
2379.909912,0.211821
2384.919922,0.216038
2389.929932,0.20773
2394.929932,0.208084
2399.939941,0.203513
2404.949951,0.200439
2409.959961,0.194561
2414.969971,0.195914
2419.97998,0.192949
2424.98999,0.189452
2429.98999,0.174984
2435.0,0.188566
2440.01001,0.166996
2445.02002,0.162836
2450.030029,0.172986
2455.040039,0.158202
2460.050049,0.143195
2465.060059,0.145537
2470.060059,0.142706
2475.070068,0.131687
2480.080078,0.13048
2485.090088,0.182004
2490.100098,0.181159
2495.110107,0.177383
2500.120117,0.102869
