wavelength,reflectance
381.450012,0.024033
386.459991,0.024484
391.470001,0.026179
396.470001,0.027498
401.480011,0.02886
406.48999,0.030921
411.5,0.033894
416.51001,0.036168
421.519989,0.038901
426.529999,0.040809
431.540009,0.044317
436.540009,0.045435
441.549988,0.047262
446.559998,0.048892
451.570007,0.050474
456.579987,0.052114
461.589996,0.053887
466.600006,0.05392
471.600006,0.055381
476.609985,0.056445
481.619995,0.057414
486.630005,0.058234
491.640015,0.058776
496.649994,0.060126
501.660004,0.061937
506.670013,0.063636
511.670013,0.06626
516.679993,0.07073
521.690002,0.076026
526.700012,0.082157
531.710022,0.08702
536.719971,0.091106
541.72998,0.094101
546.72998,0.095985
551.73999,0.097561
556.75,0.097615
561.76001,0.09702
566.77002,0.094115
571.780029,0.091075
576.789978,0.088403
581.799988,0.086577
586.799988,0.085696
591.809998,0.084959
596.820007,0.085095
601.830017,0.084392
606.840027,0.083103
611.849976,0.082154
616.859985,0.080052
621.859985,0.079161
626.869995,0.079449
631.880005,0.079326
636.890015,0.078442
641.900024,0.077602
646.909973,0.075686
651.919983,0.0757
656.929993,0.07562
661.929993,0.073531
666.940002,0.072095
671.950012,0.071357
676.960022,0.06996
681.969971,0.071319
686.97998,0.075472
691.98999,0.083189
696.98999,0.09772
702.0,0.119545
707.01001,0.145743
712.02002,0.175862
717.030029,0.210739
722.039978,0.248933
727.049988,0.284588
732.059998,0.31709
737.059998,0.341437
742.070007,0.363496
747.080017,0.378703
752.090027,0.389891
757.099976,0.401124
762.109985,0.40039
767.119995,0.402438
772.119995,0.409918
777.130005,0.413674
782.140015,0.41607
787.150024,0.418801
792.159973,0.42041
797.169983,0.422226
802.179993,0.425832
807.190002,0.428648
812.190002,0.430475
817.200012,0.4306
822.210022,0.433258
827.219971,0.43308
832.22998,0.43263
837.23999,0.431396
842.25,0.430049
847.25,0.433431
852.26001,0.433433
857.27002,0.433968
862.280029,0.433884
867.289978,0.433668
872.299988,0.433354
877.309998,0.435302
882.320007,0.433672
887.320007,0.435362
892.330017,0.437934
897.340027,0.43735
902.349976,0.437267
907.359985,0.439566
912.369995,0.438188
917.380005,0.438013
922.390015,0.4368
927.390015,0.438882
932.400024,0.436128
937.409973,0.431624
942.419983,0.426561
947.429993,0.415592
952.440002,0.403706
957.450012,0.391006
962.450012,0.384272
967.460022,0.3812
972.469971,0.379971
977.47998,0.38014
982.48999,0.379288
987.5,0.381928
992.51001,0.384054
997.52002,0.38754
1002.52002,0.393252
1007.530029,0.399962
1012.539978,0.403046
1017.549988,0.407258
1022.559998,0.414878
1027.569946,0.417551
1032.579956,0.420565
1037.579956,0.425385
1042.589966,0.429799
1047.599976,0.431836
1052.609985,0.435147
1057.619995,0.438638
1062.630005,0.438983
1067.640015,0.439876
1072.650024,0.439031
1077.650024,0.439513
1082.660034,0.439006
1087.670044,0.438147
1092.680054,0.438755
1097.689941,0.437217
1102.699951,0.434332
1107.709961,0.433366
1112.709961,0.438995
1117.719971,0.430417
1122.72998,0.431634
1127.73999,0.420097
1132.75,0.407884
1137.76001,0.379138
1142.77002,0.368436
1147.780029,0.345144
1152.780029,0.331874
1157.790039,0.322274
1162.800049,0.315441
1167.810059,0.315029
1172.819946,0.313828
1177.829956,0.313432
1182.839966,0.313615
1187.839966,0.312457
1192.849976,0.311354
1197.859985,0.311595
1202.869995,0.308355
1207.880005,0.309813
1212.890015,0.309626
1217.900024,0.312092
1222.910034,0.312738
1227.910034,0.313531
1232.920044,0.314587
1237.930054,0.316972
1242.939941,0.317421
1247.949951,0.319808
1252.959961,0.32163
1257.969971,0.321852
1262.969971,0.323665
1267.97998,0.32237
1272.98999,0.320616
1278.0,0.320653
1283.01001,0.316195
1288.02002,0.312925
1293.030029,0.308697
1298.040039,0.303805
1303.040039,0.298984
1308.050049,0.292604
1313.060059,0.286385
1318.069946,0.277134
1323.079956,0.267831
1328.089966,0.26154
1333.099976,0.249435
1338.099976,0.241354
1343.109985,0.231533
1433.27002,0.082534
1438.280029,0.085532
1443.290039,0.081177
1448.300049,0.075841
1453.300049,0.069824
1458.310059,0.06734
1463.319946,0.068426
1468.329956,0.074223
1473.339966,0.073025
1478.349976,0.074301
1483.359985,0.07343
1488.359985,0.075423
1493.369995,0.075085
1498.380005,0.076286
1503.390015,0.079156
1508.400024,0.081627
1513.410034,0.083517
1518.420044,0.087234
1523.430054,0.090435
1528.430054,0.092939
1533.439941,0.097175
1538.449951,0.100415
1543.459961,0.103838
1548.469971,0.106958
1553.47998,0.110393
1558.48999,0.114787
1563.48999,0.117638
1568.5,0.121119
1573.51001,0.124077
1578.52002,0.126982
1583.530029,0.12996
1588.540039,0.133224
1593.550049,0.135299
1598.560059,0.138694
1603.560059,0.141486
1608.569946,0.142424
1613.579956,0.144824
1618.589966,0.146512
1623.599976,0.148313
1628.609985,0.150818
1633.619995,0.152338
1638.619995,0.154352
1643.630005,0.155588
1648.640015,0.157109
1653.650024,0.157473
1658.660034,0.158535
1663.670044,0.158524
1668.680054,0.159611
1673.689941,0.159727
1678.689941,0.159026
1683.699951,0.158164
1688.709961,0.157995
1693.719971,0.156897
1698.72998,0.156149
1703.73999,0.154884
1708.75,0.154742
1713.75,0.152069
1718.76001,0.149957
1723.77002,0.14786
1728.780029,0.144961
1733.790039,0.144174
1738.800049,0.141829
1743.810059,0.138747
1748.819946,0.136031
1753.819946,0.133312
1758.829956,0.130337
1763.839966,0.127589
1768.849976,0.124638
1773.859985,0.123566
1954.170044,0.051319
1959.180054,0.046856
1964.189941,0.043754
1969.199951,0.038813
1974.209961,0.037738
1979.209961,0.037758
1984.219971,0.037531
1989.22998,0.037763
1994.23999,0.038757
1999.25,0.044339
2004.26001,0.056186
2009.27002,0.049225
2014.280029,0.051573
2019.280029,0.047484
2024.290039,0.043195
2029.300049,0.043279
2034.310059,0.043018
2039.319946,0.043915
2044.329956,0.046272
2049.340088,0.047136
2054.340088,0.049889
2059.350098,0.049705
2064.360107,0.051054
2069.370117,0.051842
2074.379883,0.052357
2079.389893,0.052332
2084.399902,0.05306
2089.409912,0.054156
2094.409912,0.055194
2099.419922,0.056466
2104.429932,0.057405
2109.439941,0.057585
2114.449951,0.05878
2119.459961,0.059227
2124.469971,0.060272
2129.469971,0.061059
2134.47998,0.061713
2139.48999,0.06256
2144.5,0.062394
2149.51001,0.064093
2154.52002,0.064138
2159.530029,0.065231
2164.540039,0.065667
2169.540039,0.065728
2174.550049,0.066201
2179.560059,0.066674
2184.570068,0.067587
2189.580078,0.067497
2194.590088,0.067595
2199.600098,0.068075
2204.600098,0.068257
2209.610107,0.06768
2214.620117,0.069145
2219.629883,0.067864
2224.639893,0.067547
2229.649902,0.066497
2234.659912,0.065978
2239.669922,0.066228
2244.669922,0.064286
2249.679932,0.064142
2254.689941,0.063449
2259.699951,0.062121
2264.709961,0.061607
2269.719971,0.060646
2274.72998,0.058897
2279.72998,0.058275
2284.73999,0.057614
2289.75,0.056441
2294.76001,0.05557
2299.77002,0.055429
2304.780029,0.052387
2309.790039,0.051542
2314.800049,0.051318
2319.800049,0.051661
2324.810059,0.050544
2329.820068,0.048773
2334.830078,0.048065
2339.840088,0.047972
2344.850098,0.047453
2349.860107,0.047189
2354.860107,0.045865
2359.870117,0.043891
2364.879883,0.043489
2369.889893,0.045056
2374.899902,0.042574
2379.909912,0.041365
2384.919922,0.042387
2389.929932,0.041705
2394.929932,0.040157
2399.939941,0.038751
2404.949951,0.039525
2409.959961,0.039923
2414.969971,0.041775
2419.97998,0.038481
2424.98999,0.035267
2429.98999,0.03533
2435.0,0.037653
2440.01001,0.032518
2445.02002,0.036302
2450.030029,0.039914
2455.040039,0.034544
2460.050049,0.031091
2465.060059,0.033097
2470.060059,0.034011
2475.070068,0.038587
2480.080078,0.0419
2485.090088,0.057823
2490.100098,0.062297
2495.110107,0.063719
2500.120117,0.041702
