wavelength,reflectance
381.450012,0.019089
386.459991,0.02115
391.470001,0.021631
396.470001,0.024591
401.480011,0.025433
406.48999,0.028249
411.5,0.02953
416.51001,0.031947
421.519989,0.033354
426.529999,0.034675
431.540009,0.038146
436.540009,0.03917
441.549988,0.041057
446.559998,0.042625
451.570007,0.044556
456.579987,0.046087
461.589996,0.047879
466.600006,0.048836
471.600006,0.049339
476.609985,0.05047
481.619995,0.051794
486.630005,0.053149
491.640015,0.053426
496.649994,0.05488
501.660004,0.056306
506.670013,0.058107
511.670013,0.06171
516.679993,0.067036
521.690002,0.07231
526.700012,0.079004
531.710022,0.083452
536.719971,0.088133
541.72998,0.091006
546.72998,0.093483
551.73999,0.095374
556.75,0.095142
561.76001,0.094738
566.77002,0.091964
571.780029,0.089495
576.789978,0.086597
581.799988,0.08448
586.799988,0.082956
591.809998,0.082635
596.820007,0.082503
601.830017,0.082197
606.840027,0.080975
611.849976,0.079174
616.859985,0.077819
621.859985,0.076414
626.869995,0.077432
631.880005,0.076799
636.890015,0.075656
641.900024,0.074992
646.909973,0.073486
651.919983,0.071597
656.929993,0.071374
661.929993,0.06979
666.940002,0.068318
671.950012,0.067647
676.960022,0.066605
681.969971,0.067801
686.97998,0.072529
691.98999,0.082843
696.98999,0.09873
702.0,0.122676
707.01001,0.147569
712.02002,0.178227
717.030029,0.210358
722.039978,0.241747
727.049988,0.269491
732.059998,0.292339
737.059998,0.309649
742.070007,0.324481
747.080017,0.33442
752.090027,0.342004
757.099976,0.35025
762.109985,0.349926
767.119995,0.361775
772.119995,0.356985
777.130005,0.359367
782.140015,0.362149
787.150024,0.365729
792.159973,0.366499
797.169983,0.36921
802.179993,0.371251
807.190002,0.371956
812.190002,0.372705
817.200012,0.376254
822.210022,0.378709
827.219971,0.378913
832.22998,0.37925
837.23999,0.379917
842.25,0.380872
847.25,0.379896
852.26001,0.380663
857.27002,0.380263
862.280029,0.382228
867.289978,0.383625
872.299988,0.384202
877.309998,0.384959
882.320007,0.384573
887.320007,0.386575
892.330017,0.388269
897.340027,0.389646
902.349976,0.389574
907.359985,0.391117
912.369995,0.38979
917.380005,0.391825
922.390015,0.393048
927.390015,0.39191
932.400024,0.392787
937.409973,0.387095
942.419983,0.385507
947.429993,0.380852
952.440002,0.373756
957.450012,0.364032
962.450012,0.357376
967.460022,0.359468
972.469971,0.357512
977.47998,0.357184
982.48999,0.356642
987.5,0.359103
992.51001,0.361211
997.52002,0.364686
1002.52002,0.368426
1007.530029,0.373593
1012.539978,0.376719
1017.549988,0.379035
1022.559998,0.383297
1027.569946,0.386962
1032.579956,0.39013
1037.579956,0.393798
1042.589966,0.397149
1047.599976,0.399596
1052.609985,0.400024
1057.619995,0.402222
1062.630005,0.401251
1067.640015,0.403764
1072.650024,0.404739
1077.650024,0.404004
1082.660034,0.404313
1087.670044,0.403436
1092.680054,0.402917
1097.689941,0.401325
1102.699951,0.401797
1107.709961,0.399268
1112.709961,0.402127
1117.719971,0.398212
1122.72998,0.399613
1127.73999,0.392418
1132.75,0.380256
1137.76001,0.364538
1142.77002,0.353758
1147.780029,0.337221
1152.780029,0.320612
1157.790039,0.317557
1162.800049,0.312639
1167.810059,0.311905
1172.819946,0.309337
1177.829956,0.310554
1182.839966,0.309899
1187.839966,0.310426
1192.849976,0.309883
1197.859985,0.309394
1202.869995,0.308047
1207.880005,0.308001
1212.890015,0.309137
1217.900024,0.309883
1222.910034,0.311078
1227.910034,0.31255
1232.920044,0.314611
1237.930054,0.315609
1242.939941,0.31734
1247.949951,0.318772
1252.959961,0.320042
1257.969971,0.32184
1262.969971,0.322507
1267.97998,0.323677
1272.98999,0.320654
1278.0,0.318805
1283.01001,0.316676
1288.02002,0.313244
1293.030029,0.311443
1298.040039,0.306223
1303.040039,0.301274
1308.050049,0.297771
1313.060059,0.289878
1318.069946,0.283802
1323.079956,0.274784
1328.089966,0.267632
1333.099976,0.258593
1338.099976,0.250417
1343.109985,0.244794
1433.27002,0.105397
1438.280029,0.102796
1443.290039,0.098075
1448.300049,0.093293
1453.300049,0.088396
1458.310059,0.086081
1463.319946,0.087783
1468.329956,0.094582
1473.339966,0.094028
1478.349976,0.094395
1483.359985,0.095721
1488.359985,0.095628
1493.369995,0.096398
1498.380005,0.098687
1503.390015,0.102621
1508.400024,0.104491
1513.410034,0.107556
1518.420044,0.111583
1523.430054,0.114204
1528.430054,0.118376
1533.439941,0.122596
1538.449951,0.126647
1543.459961,0.128829
1548.469971,0.132257
1553.47998,0.136318
1558.48999,0.139931
1563.48999,0.143795
1568.5,0.147068
1573.51001,0.149671
1578.52002,0.154075
1583.530029,0.155423
1588.540039,0.158676
1593.550049,0.16039
1598.560059,0.16299
1603.560059,0.166425
1608.569946,0.167545
1613.579956,0.169285
1618.589966,0.171694
1623.599976,0.172265
1628.609985,0.175103
1633.619995,0.177254
1638.619995,0.178537
1643.630005,0.179566
1648.640015,0.180882
1653.650024,0.18116
1658.660034,0.180712
1663.670044,0.1815
1668.680054,0.182152
1673.689941,0.181185
1678.689941,0.180218
