wavelength,reflectance
381.450012,-0.00614
386.459991,-5.7e-05
391.470001,0.000979
396.470001,0.003859
401.480011,0.006918
406.48999,0.009059
411.5,0.010704
416.51001,0.012752
421.519989,0.014337
426.529999,0.016199
431.540009,0.019492
436.540009,0.020328
441.549988,0.022293
446.559998,0.023951
451.570007,0.025643
456.579987,0.026684
461.589996,0.02865
466.600006,0.029479
471.600006,0.030506
476.609985,0.031287
481.619995,0.032435
486.630005,0.033055
491.640015,0.033728
496.649994,0.034459
501.660004,0.034765
506.670013,0.036055
511.670013,0.037544
516.679993,0.041001
521.690002,0.042931
526.700012,0.045832
531.710022,0.04837
536.719971,0.05053
541.72998,0.052609
546.72998,0.05387
551.73999,0.055731
556.75,0.056551
561.76001,0.05664
566.77002,0.057138
571.780029,0.056518
576.789978,0.056366
581.799988,0.055937
586.799988,0.056428
591.809998,0.05696
596.820007,0.057096
601.830017,0.05616
606.840027,0.05633
611.849976,0.05602
616.859985,0.054975
621.859985,0.053544
626.869995,0.054348
631.880005,0.054544
636.890015,0.054376
641.900024,0.054314
646.909973,0.054454
651.919983,0.053632
656.929993,0.052978
661.929993,0.051356
666.940002,0.05029
671.950012,0.050203
676.960022,0.048571
681.969971,0.050196
686.97998,0.05262
691.98999,0.059583
696.98999,0.068925
702.0,0.080647
707.01001,0.091383
712.02002,0.10351
717.030029,0.117999
722.039978,0.132737
727.049988,0.146462
732.059998,0.159736
737.059998,0.171481
742.070007,0.183873
747.080017,0.192807
752.090027,0.198625
757.099976,0.20593
762.109985,0.206346
767.119995,0.206287
772.119995,0.213572
777.130005,0.216538
782.140015,0.218158
787.150024,0.219498
792.159973,0.222646
797.169983,0.223627
802.179993,0.224827
807.190002,0.226437
812.190002,0.227793
817.200012,0.228735
822.210022,0.23043
827.219971,0.227493
832.22998,0.229346
837.23999,0.229724
842.25,0.229161
847.25,0.232249
852.26001,0.233202
857.27002,0.231982
862.280029,0.232234
867.289978,0.232234
872.299988,0.233078
877.309998,0.234381
882.320007,0.234189
887.320007,0.234667
892.330017,0.238448
897.340027,0.238997
902.349976,0.237256
907.359985,0.238557
912.369995,0.238507
917.380005,0.237185
922.390015,0.237731
927.390015,0.240938
932.400024,0.255179
937.409973,0.248467
942.419983,0.243903
947.429993,0.239189
952.440002,0.234715
957.450012,0.226052
962.450012,0.226576
967.460022,0.221149
972.469971,0.22523
977.47998,0.224963
982.48999,0.221653
987.5,0.224613
992.51001,0.227835
997.52002,0.228547
1002.52002,0.231282
1007.530029,0.232546
1012.539978,0.23528
1017.549988,0.238291
1022.559998,0.239823
1027.569946,0.243065
1032.579956,0.243546
1037.579956,0.245503
1042.589966,0.247301
1047.599976,0.249424
1052.609985,0.248775
1057.619995,0.252145
1062.630005,0.254464
1067.640015,0.254068
1072.650024,0.254899
1077.650024,0.252554
1082.660034,0.253889
1087.670044,0.254984
1092.680054,0.257
1097.689941,0.25305
1102.699951,0.255485
1107.709961,0.250499
1112.709961,0.253137
1117.719971,0.257125
1122.72998,0.266598
1127.73999,0.256699
1132.75,0.234612
1137.76001,0.217839
1142.77002,0.228683
1147.780029,0.217145
1152.780029,0.208257
1157.790039,0.200645
1162.800049,0.198714
1167.810059,0.199151
1172.819946,0.200082
1177.829956,0.201448
1182.839966,0.20072
1187.839966,0.199846
1192.849976,0.198464
1197.859985,0.200386
1202.869995,0.197466
1207.880005,0.196325
1212.890015,0.197741
1217.900024,0.198693
1222.910034,0.200812
1227.910034,0.202773
1232.920044,0.204364
1237.930054,0.207223
1242.939941,0.209281
1247.949951,0.210424
1252.959961,0.211977
1257.969971,0.213815
1262.969971,0.215989
1267.97998,0.215508
1272.98999,0.21183
1278.0,0.212858
1283.01001,0.209686
1288.02002,0.208457
1293.030029,0.205879
1298.040039,0.203409
1303.040039,0.20344
1308.050049,0.197101
1313.060059,0.195942
1318.069946,0.188617
1323.079956,0.181917
1328.089966,0.177918
1333.099976,0.168169
1338.099976,0.163572
1343.109985,0.153045
1433.27002,0.076674
1438.280029,0.098633
1443.290039,0.085631
1448.300049,0.071803
1453.300049,0.067543
1458.310059,0.063852
1463.319946,0.063482
1468.329956,0.072699
1473.339966,0.065742
1478.349976,0.068167
1483.359985,0.067668
1488.359985,0.071711
1493.369995,0.069881
1498.380005,0.071335
1503.390015,0.073951
1508.400024,0.074894
1513.410034,0.077376
1518.420044,0.07967
1523.430054,0.08118
1528.430054,0.084155
1533.439941,0.085246
1538.449951,0.087843
1543.459961,0.090186
1548.469971,0.091771
1553.47998,0.0937
1558.48999,0.095917
1563.48999,0.097928
1568.5,0.098798
1573.51001,0.100404
1578.52002,0.102803
1583.530029,0.104497
1588.540039,0.10652
1593.550049,0.108008
1598.560059,0.109829
1603.560059,0.110684
1608.569946,0.111891
1613.579956,0.112568
1618.589966,0.115251
1623.599976,0.11652
1628.609985,0.117558
1633.619995,0.119167
1638.619995,0.118707
1643.630005,0.120577
1648.640015,0.121271
1653.650024,0.122056
1658.660034,0.121974
1663.670044,0.120936
1668.680054,0.120928
1673.689941,0.120617
1678.689941,0.118654
1683.699951,0.118616
1688.709961,0.118401
1693.719971,0.117145
1698.72998,0.115812
1703.73999,0.113874
1708.75,0.112711
1713.75,0.111787
1718.76001,0.108946
1723.77002,0.107021
1728.780029,0.106275
1733.790039,0.105822
1738.800049,0.107047
1743.810059,0.105762
1748.819946,0.104559
1753.819946,0.102934
1758.829956,0.100583
1763.839966,0.099083
1768.849976,0.096736
1773.859985,0.094697
1954.170044,0.04623
1959.180054,0.043423
1964.189941,0.044869
1969.199951,0.036785
1974.209961,0.036682
1979.209961,0.037424
1984.219971,0.038364
1989.22998,0.039606
1994.23999,0.038448
1999.25,0.039465
2004.26001,0.039561
2009.27002,0.039069
2014.280029,0.045107
2019.280029,0.04485
2024.290039,0.043057
2029.300049,0.044521
2034.310059,0.04642
2039.319946,0.045536
2044.329956,0.047452
2049.340088,0.04674
2054.340088,0.048136
2059.350098,0.049368
2064.360107,0.049395
2069.370117,0.050743
2074.379883,0.051835
2079.389893,0.0514
2084.399902,0.052609
2089.409912,0.052688
2094.409912,0.051578
2099.419922,0.053441
2104.429932,0.053729
2109.439941,0.054444
2114.449951,0.055642
2119.459961,0.05551
2124.469971,0.055473
2129.469971,0.055527
2134.47998,0.057719
2139.48999,0.056029
2144.5,0.054879
2149.51001,0.057192
2154.52002,0.058334
2159.530029,0.055817
2164.540039,0.05759
2169.540039,0.05848
2174.550049,0.05769
2179.560059,0.05764
2184.570068,0.058631
2189.580078,0.057302
2194.590088,0.05716
2199.600098,0.057025
2204.600098,0.056093
2209.610107,0.056288
2214.620117,0.057324
2219.629883,0.056862
2224.639893,0.056034
2229.649902,0.055596
2234.659912,0.055651
2239.669922,0.055023
2244.669922,0.053416
2249.679932,0.052985
2254.689941,0.050931
2259.699951,0.049591
2264.709961,0.050009
2269.719971,0.04956
2274.72998,0.047456
2279.72998,0.047261
2284.73999,0.047218
2289.75,0.043909
2294.76001,0.044421
2299.77002,0.044001
2304.780029,0.042014
2309.790039,0.041138
2314.800049,0.041415
2319.800049,0.040976
2324.810059,0.041509
2329.820068,0.039665
2334.830078,0.039323
2339.840088,0.037713
2344.850098,0.037949
2349.860107,0.037331
2354.860107,0.038527
2359.870117,0.03512
2364.879883,0.035068
2369.889893,0.036534
2374.899902,0.031667
2379.909912,0.034559
2384.919922,0.033504
2389.929932,0.03201
2394.929932,0.029736
2399.939941,0.029934
