wavelength,reflectance
381.450012,0.009082
386.459991,0.012454
391.470001,0.012358
396.470001,0.014411
401.480011,0.015925
406.48999,0.017011
411.5,0.018059
416.51001,0.019037
421.519989,0.020381
426.529999,0.021144
431.540009,0.024424
436.540009,0.023349
441.549988,0.024699
446.559998,0.025619
451.570007,0.026079
456.579987,0.027176
461.589996,0.027331
466.600006,0.027778
471.600006,0.027979
476.609985,0.02837
481.619995,0.028987
486.630005,0.028645
491.640015,0.028775
496.649994,0.029089
501.660004,0.029925
506.670013,0.030037
511.670013,0.032147
516.679993,0.034651
521.690002,0.037854
526.700012,0.041046
531.710022,0.043835
536.719971,0.045862
541.72998,0.046883
546.72998,0.047662
551.73999,0.047861
556.75,0.047354
561.76001,0.046403
566.77002,0.044084
571.780029,0.04168
576.789978,0.039739
581.799988,0.037791
586.799988,0.036969
591.809998,0.036434
596.820007,0.035579
601.830017,0.035517
606.840027,0.034505
611.849976,0.033719
616.859985,0.032333
621.859985,0.03189
626.869995,0.031365
631.880005,0.031137
636.890015,0.030702
641.900024,0.030205
646.909973,0.029056
651.919983,0.028835
656.929993,0.027911
661.929993,0.027091
666.940002,0.026371
671.950012,0.02644
676.960022,0.025848
681.969971,0.026474
686.97998,0.028198
691.98999,0.032807
696.98999,0.039703
702.0,0.052741
707.01001,0.067028
712.02002,0.082552
717.030029,0.103227
722.039978,0.12828
727.049988,0.155741
732.059998,0.184689
737.059998,0.212783
742.070007,0.239578
747.080017,0.262197
752.090027,0.277434
757.099976,0.284529
762.109985,0.289999
767.119995,0.300271
772.119995,0.301713
777.130005,0.304101
782.140015,0.306932
787.150024,0.307318
792.159973,0.308209
797.169983,0.310709
802.179993,0.312257
807.190002,0.314014
812.190002,0.312768
817.200012,0.316835
822.210022,0.315675
827.219971,0.315356
832.22998,0.315751
837.23999,0.313926
842.25,0.314845
847.25,0.315371
852.26001,0.315048
857.27002,0.314709
862.280029,0.315775
867.289978,0.315819
872.299988,0.314089
877.309998,0.315691
882.320007,0.31557
887.320007,0.315723
892.330017,0.315905
897.340027,0.31708
902.349976,0.317927
907.359985,0.31545
912.369995,0.316619
917.380005,0.315794
922.390015,0.315156
927.390015,0.312126
932.400024,0.310402
937.409973,0.309617
942.419983,0.305173
947.429993,0.298198
952.440002,0.28819
957.450012,0.281818
962.450012,0.27472
967.460022,0.274128
972.469971,0.271587
977.47998,0.270244
982.48999,0.270555
987.5,0.272073
992.51001,0.272759
997.52002,0.275328
1002.52002,0.279717
1007.530029,0.283327
1012.539978,0.285494
1017.549988,0.289767
1022.559998,0.293127
1027.569946,0.297054
1032.579956,0.299639
1037.579956,0.302099
1042.589966,0.305108
1047.599976,0.307175
1052.609985,0.306553
1057.619995,0.308397
1062.630005,0.310433
1067.640015,0.312119
1072.650024,0.313175
1077.650024,0.312449
1082.660034,0.31049
1087.670044,0.31062
1092.680054,0.309418
1097.689941,0.306905
1102.699951,0.306021
1107.709961,0.304191
1112.709961,0.303277
1117.719971,0.299371
1122.72998,0.296712
1127.73999,0.294
1132.75,0.284227
1137.76001,0.269508
1142.77002,0.253919
1147.780029,0.239541
1152.780029,0.231234
1157.790039,0.22527
1162.800049,0.220289
1167.810059,0.21868
1172.819946,0.216158
1177.829956,0.216
1182.839966,0.215521
1187.839966,0.214238
1192.849976,0.213451
1197.859985,0.213047
1202.869995,0.210525
1207.880005,0.211196
1212.890015,0.21114
1217.900024,0.213086
1222.910034,0.213063
1227.910034,0.214084
1232.920044,0.215282
1237.930054,0.216607
1242.939941,0.216844
1247.949951,0.218418
1252.959961,0.219345
1257.969971,0.220347
1262.969971,0.219668
1267.97998,0.218753
1272.98999,0.219257
1278.0,0.218363
1283.01001,0.216811
1288.02002,0.214169
1293.030029,0.211239
1298.040039,0.208534
1303.040039,0.204385
1308.050049,0.199715
1313.060059,0.19581
1318.069946,0.187765
1323.079956,0.182661
1328.089966,0.175571
1333.099976,0.169286
1338.099976,0.163498
1343.109985,0.156879
1433.27002,0.044792
1438.280029,0.04464
1443.290039,0.043592
1448.300049,0.040537
1453.300049,0.039785
1458.310059,0.038542
1463.319946,0.040154
1468.329956,0.042518
1473.339966,0.042396
