wavelength,reflectance
381.450012,0.013274
386.459991,0.014817
391.470001,0.018137
396.470001,0.018443
401.480011,0.02068
406.48999,0.022859
411.5,0.024436
416.51001,0.024839
421.519989,0.025959
426.529999,0.026906
431.540009,0.029305
436.540009,0.029102
441.549988,0.030775
446.559998,0.032361
451.570007,0.033079
456.579987,0.03375
461.589996,0.036324
466.600006,0.036106
471.600006,0.037874
476.609985,0.037922
481.619995,0.038535
486.630005,0.039559
491.640015,0.040008
496.649994,0.040068
501.660004,0.041609
506.670013,0.041265
511.670013,0.043299
516.679993,0.045755
521.690002,0.048506
526.700012,0.050556
531.710022,0.052805
536.719971,0.0536
541.72998,0.055543
546.72998,0.056203
551.73999,0.056321
556.75,0.056655
561.76001,0.05628
566.77002,0.056012
571.780029,0.05429
576.789978,0.05373
581.799988,0.05308
586.799988,0.053119
591.809998,0.053274
596.820007,0.052617
601.830017,0.05301
606.840027,0.052591
611.849976,0.051533
616.859985,0.051314
621.859985,0.050549
626.869995,0.050517
631.880005,0.050586
636.890015,0.050317
641.900024,0.049949
646.909973,0.049273
651.919983,0.04857
656.929993,0.04766
661.929993,0.047156
666.940002,0.045569
671.950012,0.044876
676.960022,0.043861
681.969971,0.044408
686.97998,0.048174
691.98999,0.054404
696.98999,0.062877
702.0,0.074214
707.01001,0.087884
712.02002,0.103936
717.030029,0.119207
722.039978,0.136298
727.049988,0.155067
732.059998,0.170811
737.059998,0.184609
742.070007,0.198999
747.080017,0.208806
752.090027,0.21581
757.099976,0.221527
762.109985,0.223251
767.119995,0.223434
772.119995,0.230149
777.130005,0.234206
782.140015,0.238448
787.150024,0.240046
792.159973,0.24374
797.169983,0.244188
802.179993,0.246988
807.190002,0.247718
812.190002,0.250839
817.200012,0.253183
822.210022,0.252772
827.219971,0.254711
832.22998,0.253418
837.23999,0.257577
842.25,0.259282
847.25,0.259293
852.26001,0.262243
857.27002,0.260999
862.280029,0.261621
867.289978,0.266061
872.299988,0.264257
877.309998,0.265626
882.320007,0.265422
887.320007,0.267619
892.330017,0.267143
897.340027,0.270198
902.349976,0.269968
907.359985,0.271934
912.369995,0.270663
917.380005,0.271926
922.390015,0.273195
927.390015,0.274357
932.400024,0.27084
937.409973,0.271546
942.419983,0.271952
947.429993,0.269107
952.440002,0.26501
957.450012,0.261661
962.450012,0.258143
967.460022,0.257481
972.469971,0.257203
977.47998,0.257424
982.48999,0.257069
987.5,0.258848
992.51001,0.26074
997.52002,0.26391
1002.52002,0.268215
1007.530029,0.269294
1012.539978,0.270819
1017.549988,0.272579
1022.559998,0.27634
1027.569946,0.278948
1032.579956,0.279382
1037.579956,0.282165
1042.589966,0.284962
1047.599976,0.287252
1052.609985,0.287278
1057.619995,0.289131
1062.630005,0.289861
1067.640015,0.29038
1072.650024,0.29082
1077.650024,0.293414
1082.660034,0.293044
1087.670044,0.291547
1092.680054,0.293333
1097.689941,0.294829
1102.699951,0.290407
1107.709961,0.29008
1112.709961,0.29029
1117.719971,0.287039
1122.72998,0.289263
1127.73999,0.281852
1132.75,0.275418
1137.76001,0.265668
1142.77002,0.256267
1147.780029,0.245726
1152.780029,0.236934
1157.790039,0.228787
1162.800049,0.224566
1167.810059,0.222858
1172.819946,0.220095
1177.829956,0.221082
1182.839966,0.218422
1187.839966,0.217681
1192.849976,0.216716
1197.859985,0.217587
1202.869995,0.216522
1207.880005,0.215613
1212.890015,0.218291
1217.900024,0.221036
1222.910034,0.223621
1227.910034,0.224956
1232.920044,0.225854
1237.930054,0.22787
1242.939941,0.230518
1247.949951,0.232277
1252.959961,0.233513
1257.969971,0.23579
1262.969971,0.236944
1267.97998,0.238877
1272.98999,0.238235
1278.0,0.235114
1283.01001,0.23515
1288.02002,0.231729
1293.030029,0.229157
1298.040039,0.225872
1303.040039,0.219988
1308.050049,0.220534
1313.060059,0.211785
1318.069946,0.206113
1323.079956,0.198971
1328.089966,0.19018
1333.099976,0.184554
1338.099976,0.177847
1343.109985,0.173463
1433.27002,0.069412
1438.280029,0.06365
1443.290039,0.064523
1448.300049,0.057404
1453.300049,0.054774
1458.310059,0.051824
1463.319946,0.053129
1468.329956,0.057102
1473.339966,0.058536
1478.349976,0.057461
1483.359985,0.058597
1488.359985,0.058871
1493.369995,0.058821
1498.380005,0.060503
1503.390015,0.062445
1508.400024,0.065103
1513.410034,0.066442
1518.420044,0.069335
1523.430054,0.071548
1528.430054,0.073234
1533.439941,0.076195
1538.449951,0.078052
1543.459961,0.079061
1548.469971,0.081441
1553.47998,0.083787
1558.48999,0.084467
1563.48999,0.086384
1568.5,0.089196
1573.51001,0.091316
1578.52002,0.0919
1583.530029,0.093842
1588.540039,0.097525
1593.550049,0.098063
1598.560059,0.09858
1603.560059,0.101932
1608.569946,0.102534
1613.579956,0.104177
1618.589966,0.105225
1623.599976,0.106712
1628.609985,0.107793
1633.619995,0.108619
1638.619995,0.108889
1643.630005,0.109678
1648.640015,0.110252
1653.650024,0.110845
1658.660034,0.111354
1663.670044,0.110703
1668.680054,0.110807
1673.689941,0.110412
1678.689941,0.107933
1683.699951,0.107141
1688.709961,0.105061
1693.719971,0.103147
1698.72998,0.102046
1703.73999,0.100832
1708.75,0.098949
1713.75,0.097559
1718.76001,0.09596
1723.77002,0.095011
1728.780029,0.093666
1733.790039,0.09386
1738.800049,0.09356
1743.810059,0.092695
1748.819946,0.093048
1753.819946,0.088497
1758.829956,0.089728
1763.839966,0.086741
1768.849976,0.086424
1773.859985,0.085762
1954.170044,0.033311
1959.180054,0.033181
1964.189941,0.03721
1969.199951,0.030095
1974.209961,0.029315
1979.209961,0.027992
1984.219971,0.027781
1989.22998,0.02833
1994.23999,0.029063
1999.25,0.033116
2004.26001,0.035839
2009.27002,0.033172
2014.280029,0.035995
2019.280029,0.034809
2024.290039,0.033257
2029.300049,0.032662
2034.310059,0.032297
2039.319946,0.034023
2044.329956,0.03481
2049.340088,0.036092
2054.340088,0.037851
2059.350098,0.0369
2064.360107,0.037463
2069.370117,0.03876
2074.379883,0.038
2079.389893,0.038805
2084.399902,0.039424
2089.409912,0.038241
2094.409912,0.039416
2099.419922,0.040362
2104.429932,0.0411
2109.439941,0.041593
2114.449951,0.040903
2119.459961,0.041853
2124.469971,0.041436
2129.469971,0.042471
2134.47998,0.043285
2139.48999,0.043606
2144.5,0.042972
2149.51001,0.044988
2154.52002,0.044068
2159.530029,0.044945
2164.540039,0.044955
2169.540039,0.044408
2174.550049,0.045039
2179.560059,0.045919
2184.570068,0.046667
