wavelength,reflectance
381.450012,0.019744
386.459991,0.023171
391.470001,0.027156
396.470001,0.03021
401.480011,0.030939
406.48999,0.031757
411.5,0.033685
416.51001,0.034905
421.519989,0.035595
426.529999,0.037483
431.540009,0.040535
436.540009,0.040909
441.549988,0.041895
446.559998,0.043035
451.570007,0.044343
456.579987,0.044684
461.589996,0.045731
466.600006,0.045867
471.600006,0.047214
476.609985,0.046849
481.619995,0.047184
486.630005,0.047984
491.640015,0.048603
496.649994,0.048566
501.660004,0.050138
506.670013,0.050411
511.670013,0.053151
516.679993,0.055874
521.690002,0.058533
526.700012,0.062151
531.710022,0.065568
536.719971,0.067443
541.72998,0.068824
546.72998,0.070853
551.73999,0.07148
556.75,0.071887
561.76001,0.070931
566.77002,0.069856
571.780029,0.068493
576.789978,0.066248
581.799988,0.065751
586.799988,0.064384
591.809998,0.064469
596.820007,0.064085
601.830017,0.064069
606.840027,0.062759
611.849976,0.062783
616.859985,0.061635
621.859985,0.060569
626.869995,0.059938
631.880005,0.060278
636.890015,0.060216
641.900024,0.059845
646.909973,0.057575
651.919983,0.057509
656.929993,0.058051
661.929993,0.056567
666.940002,0.055794
671.950012,0.05586
676.960022,0.055328
681.969971,0.055726
686.97998,0.058944
691.98999,0.065136
696.98999,0.074042
702.0,0.086161
707.01001,0.098309
712.02002,0.111626
717.030029,0.124519
722.039978,0.141381
727.049988,0.155105
732.059998,0.168635
737.059998,0.179457
742.070007,0.188736
747.080017,0.195067
752.090027,0.198692
757.099976,0.200695
762.109985,0.203249
767.119995,0.206564
772.119995,0.207035
777.130005,0.207877
782.140015,0.209103
787.150024,0.210388
792.159973,0.210339
797.169983,0.211192
802.179993,0.211851
807.190002,0.212603
812.190002,0.212992
817.200012,0.213338
822.210022,0.213231
827.219971,0.21469
832.22998,0.214436
837.23999,0.214332
842.25,0.214089
847.25,0.214139
852.26001,0.214877
857.27002,0.214736
862.280029,0.214883
867.289978,0.213557
872.299988,0.215132
877.309998,0.214505
882.320007,0.214485
887.320007,0.215249
892.330017,0.214254
897.340027,0.215532
902.349976,0.216349
907.359985,0.216308
912.369995,0.215241
917.380005,0.215932
922.390015,0.215581
927.390015,0.214697
932.400024,0.215173
937.409973,0.217181
942.419983,0.213499
947.429993,0.211402
952.440002,0.206632
957.450012,0.203886
962.450012,0.201964
967.460022,0.201299
972.469971,0.19987
977.47998,0.200077
982.48999,0.199641
987.5,0.200497
992.51001,0.201057
997.52002,0.20289
1002.52002,0.20568
1007.530029,0.206652
1012.539978,0.209377
1017.549988,0.210573
1022.559998,0.211724
1027.569946,0.213386
1032.579956,0.214911
1037.579956,0.215573
1042.589966,0.217553
1047.599976,0.218637
1052.609985,0.219322
1057.619995,0.220233
1062.630005,0.220217
1067.640015,0.221412
1072.650024,0.221788
1077.650024,0.220219
1082.660034,0.220612
1087.670044,0.220954
1092.680054,0.22004
1097.689941,0.218069
1102.699951,0.219101
1107.709961,0.217344
1112.709961,0.216969
1117.719971,0.215138
1122.72998,0.216608
1127.73999,0.213518
1132.75,0.206916
1137.76001,0.202667
1142.77002,0.196993
1147.780029,0.189276
1152.780029,0.186577
1157.790039,0.181438
1162.800049,0.180479
1167.810059,0.179721
1172.819946,0.178295
1177.829956,0.177303
1182.839966,0.177724
1187.839966,0.177311
1192.849976,0.1774
1197.859985,0.178163
1202.869995,0.17544
1207.880005,0.176095
1212.890015,0.176973
1217.900024,0.178547
1222.910034,0.177487
1227.910034,0.178808
1232.920044,0.180353
1237.930054,0.180358
1242.939941,0.181487
1247.949951,0.181559
1252.959961,0.182787
1257.969971,0.182452
1262.969971,0.182105
1267.97998,0.183241
1272.98999,0.183358
1278.0,0.182405
1283.01001,0.182027
1288.02002,0.17976
1293.030029,0.178569
1298.040039,0.176521
1303.040039,0.175127
1308.050049,0.171677
1313.060059,0.168328
1318.069946,0.164169
1323.079956,0.160604
1328.089966,0.156316
1333.099976,0.154221
1338.099976,0.150131
1343.109985,0.144762
1433.27002,0.077955
1438.280029,0.079626
1443.290039,0.075198
1448.300049,0.074407
1453.300049,0.071326
1458.310059,0.072096
1463.319946,0.0712
1468.329956,0.074105
1473.339966,0.076317
1478.349976,0.076565
1483.359985,0.076401
1488.359985,0.079482
1493.369995,0.079447
1498.380005,0.081028
1503.390015,0.083375
1508.400024,0.085561
1513.410034,0.087721
1518.420044,0.090935
1523.430054,0.092423
1528.430054,0.095189
1533.439941,0.097339
1538.449951,0.100632
1543.459961,0.102958
1548.469971,0.104771
1553.47998,0.106915
1558.48999,0.109722
1563.48999,0.111805
1568.5,0.113011
1573.51001,0.115568
1578.52002,0.1176
1583.530029,0.120009
1588.540039,0.121448
1593.550049,0.12346
1598.560059,0.124537
1603.560059,0.126089
1608.569946,0.127873
1613.579956,0.128249
1618.589966,0.129671
1623.599976,0.129083
1628.609985,0.13066
1633.619995,0.132568
1638.619995,0.133455
1643.630005,0.134217
1648.640015,0.134089
1653.650024,0.134417
1658.660034,0.136169
1663.670044,0.136044
1668.680054,0.13689
1673.689941,0.13607
1678.689941,0.136262
1683.699951,0.1366
1688.709961,0.136256
1693.719971,0.136864
1698.72998,0.135635
1703.73999,0.134586
1708.75,0.134445
1713.75,0.133881
1718.76001,0.133155
1723.77002,0.132291
1728.780029,0.130694
1733.790039,0.130063
1738.800049,0.127485
1743.810059,0.127057
1748.819946,0.12585
1753.819946,0.12362
1758.829956,0.121722
1763.839966,0.120533
1768.849976,0.118808
1773.859985,0.117821
1954.170044,0.047008
1959.180054,0.047788
1964.189941,0.045453
1969.199951,0.045854
1974.209961,0.044427
1979.209961,0.042781
1984.219971,0.043853
1989.22998,0.04406
1994.23999,0.045264
1999.25,0.046918
2004.26001,0.052685
2009.27002,0.050017
2014.280029,0.05043
2019.280029,0.054587
2024.290039,0.051812
2029.300049,0.051483
2034.310059,0.051715
2039.319946,0.053821
2044.329956,0.054536
2049.340088,0.054798
2054.340088,0.056209
2059.350098,0.056511
2064.360107,0.057099
2069.370117,0.061085
2074.379883,0.05897
2079.389893,0.059731
2084.399902,0.0608
2089.409912,0.061453
2094.409912,0.063503
2099.419922,0.062775
2104.429932,0.063122
2109.439941,0.064135
2114.449951,0.065026
2119.459961,0.065545
2124.469971,0.066401
2129.469971,0.066943
2134.47998,0.068599
2139.48999,0.068385
2144.5,0.070021
2149.51001,0.070241
2154.52002,0.070258
2159.530029,0.070798
2164.540039,0.071972
2169.540039,0.072769
2174.550049,0.071377
2179.560059,0.073066
2184.570068,0.074419
2189.580078,0.072855
2194.590088,0.073579
2199.600098,0.073802
2204.600098,0.074522
2209.610107,0.074161
2214.620117,0.075906
2219.629883,0.073955
2224.639893,0.074035
2229.649902,0.074066
2234.659912,0.072992
2239.669922,0.072207
2244.669922,0.071325
2249.679932,0.069241
2254.689941,0.068889
2259.699951,0.067053
2264.709961,0.066259
2269.719971,0.06575
2274.72998,0.063795
2279.72998,0.06235
2284.73999,0.062411
2289.75,0.061442
2294.76001,0.0604
2299.77002,0.060938
2304.780029,0.058608
2309.790039,0.057121
2314.800049,0.056475
2319.800049,0.057103
2324.810059,0.054888
2329.820068,0.054376
2334.830078,0.053858
2339.840088,0.052503
2344.850098,0.052552
2349.860107,0.052746
2354.860107,0.050311
2359.870117,0.049036
2364.879883,0.047602
2369.889893,0.049201
2374.899902,0.047012
2379.909912,0.047447
2384.919922,0.045956
2389.929932,0.045083
2394.929932,0.044935
2399.939941,0.044261
2404.949951,0.045146
2409.959961,0.043915
2414.969971,0.045469
2419.97998,0.041597
2424.98999,0.039866
2429.98999,0.038667
2435.0,0.039525
2440.01001,0.038621
2445.02002,0.036979
2450.030029,0.038724
2455.040039,0.03641
2460.050049,0.034179
2465.060059,0.035906
2470.060059,0.033973
2475.070068,0.039868
2480.080078,0.04089
2485.090088,0.037701
2490.100098,0.045323
2495.110107,0.047365
2500.120117,0.034299
