wavelength,reflectance
381.450012,-0.026789
386.459991,-0.0166
391.470001,-0.010004
396.470001,-0.004455
401.480011,-0.001093
406.48999,0.001353
411.5,0.003771
416.51001,0.005735
421.519989,0.00759
426.529999,0.008504
431.540009,0.014357
436.540009,0.012914
441.549988,0.016237
446.559998,0.017886
451.570007,0.019297
456.579987,0.020181
461.589996,0.022606
466.600006,0.023396
471.600006,0.024144
476.609985,0.024757
481.619995,0.025915
486.630005,0.027966
491.640015,0.027476
496.649994,0.027647
501.660004,0.028397
506.670013,0.02873
511.670013,0.030715
516.679993,0.033387
521.690002,0.03487
526.700012,0.03739
531.710022,0.038983
536.719971,0.040916
541.72998,0.041493
546.72998,0.042143
551.73999,0.043275
556.75,0.042898
561.76001,0.041809
566.77002,0.040173
571.780029,0.038891
576.789978,0.037695
581.799988,0.036989
586.799988,0.037965
591.809998,0.038939
596.820007,0.037685
601.830017,0.036417
606.840027,0.036176
611.849976,0.035186
616.859985,0.034645
621.859985,0.03386
626.869995,0.033332
631.880005,0.033702
636.890015,0.033746
641.900024,0.033603
646.909973,0.033197
651.919983,0.032997
656.929993,0.033308
661.929993,0.031825
666.940002,0.030976
671.950012,0.030724
676.960022,0.028931
681.969971,0.029561
686.97998,0.030925
691.98999,0.034691
696.98999,0.041279
702.0,0.049155
707.01001,0.058383
712.02002,0.068723
717.030029,0.084924
722.039978,0.104046
727.049988,0.12644
732.059998,0.151736
737.059998,0.171919
742.070007,0.192712
747.080017,0.210557
752.090027,0.224421
757.099976,0.228672
762.109985,0.237981
767.119995,0.244207
772.119995,0.250418
777.130005,0.252428
782.140015,0.254033
787.150024,0.25592
792.159973,0.258386
797.169983,0.260045
802.179993,0.261084
807.190002,0.261379
812.190002,0.260748
817.200012,0.265886
822.210022,0.267213
827.219971,0.267833
832.22998,0.265367
837.23999,0.266217
842.25,0.267314
847.25,0.267521
852.26001,0.26727
857.27002,0.268858
862.280029,0.268676
867.289978,0.268493
872.299988,0.269591
877.309998,0.270401
882.320007,0.269149
887.320007,0.271066
892.330017,0.269715
897.340027,0.269959
902.349976,0.275157
907.359985,0.271843
912.369995,0.272416
917.380005,0.27384
922.390015,0.271276
927.390015,0.266523
932.400024,0.270394
937.409973,0.277554
942.419983,0.268299
947.429993,0.263842
952.440002,0.25389
957.450012,0.245552
962.450012,0.239758
967.460022,0.23704
972.469971,0.237281
977.47998,0.238183
982.48999,0.238239
987.5,0.238788
992.51001,0.241141
