wavelength,reflectance
381.450012,0.006642
386.459991,0.009094
391.470001,0.014168
396.470001,0.017066
401.480011,0.018428
406.48999,0.02111
411.5,0.0238
416.51001,0.024399
421.519989,0.027343
426.529999,0.028069
431.540009,0.030752
436.540009,0.03213
441.549988,0.033465
446.559998,0.034394
451.570007,0.035949
456.579987,0.036749
461.589996,0.038028
466.600006,0.038441
471.600006,0.039348
476.609985,0.039683
481.619995,0.040917
486.630005,0.041775
491.640015,0.042966
496.649994,0.042996
501.660004,0.044593
506.670013,0.045289
511.670013,0.048314
516.679993,0.051922
521.690002,0.055701
526.700012,0.061321
531.710022,0.064652
536.719971,0.067167
541.72998,0.069412
546.72998,0.070286
551.73999,0.07165
556.75,0.071777
561.76001,0.070115
566.77002,0.068306
571.780029,0.065723
576.789978,0.06384
581.799988,0.062182
586.799988,0.061733
591.809998,0.061452
596.820007,0.060933
601.830017,0.059736
606.840027,0.058676
611.849976,0.057617
616.859985,0.056057
621.859985,0.056116
626.869995,0.055837
631.880005,0.055986
636.890015,0.055589
641.900024,0.054388
646.909973,0.053979
651.919983,0.052409
656.929993,0.052321
661.929993,0.050645
666.940002,0.049203
671.950012,0.048395
676.960022,0.048293
681.969971,0.049041
686.97998,0.052139
691.98999,0.056344
696.98999,0.067666
702.0,0.081003
707.01001,0.097573
712.02002,0.115472
717.030029,0.137458
722.039978,0.166874
727.049988,0.196441
732.059998,0.218931
737.059998,0.235595
742.070007,0.25302
747.080017,0.264375
752.090027,0.275574
757.099976,0.273103
762.109985,0.283664
767.119995,0.293731
772.119995,0.29108
777.130005,0.292922
782.140015,0.296265
787.150024,0.299354
792.159973,0.300031
797.169983,0.301489
802.179993,0.303783
807.190002,0.303319
812.190002,0.304488
817.200012,0.312217
822.210022,0.312637
827.219971,0.313148
832.22998,0.314114
837.23999,0.314976
842.25,0.312219
847.25,0.311746
852.26001,0.314259
857.27002,0.317115
862.280029,0.314149
867.289978,0.315237
872.299988,0.317495
877.309998,0.318602
