wavelength,reflectance
381.450012,-0.030058
386.459991,-0.016441
391.470001,-0.010252
396.470001,-0.006771
401.480011,-9.1e-05
406.48999,0.003898
411.5,0.005669
416.51001,0.009518
421.519989,0.012497
426.529999,0.013272
431.540009,0.021041
436.540009,0.021372
441.549988,0.024537
446.559998,0.026685
451.570007,0.028901
456.579987,0.03143
461.589996,0.03525
466.600006,0.035744
471.600006,0.037907
476.609985,0.038242
481.619995,0.041263
486.630005,0.042434
491.640015,0.042421
496.649994,0.04486
501.660004,0.04636
506.670013,0.046815
511.670013,0.048822
516.679993,0.052393
521.690002,0.055011
526.700012,0.057883
531.710022,0.060394
536.719971,0.06259
541.72998,0.065071
546.72998,0.067294
551.73999,0.069276
556.75,0.068803
561.76001,0.068745
566.77002,0.068804
571.780029,0.067965
576.789978,0.067236
581.799988,0.067205
586.799988,0.068834
591.809998,0.069643
596.820007,0.069694
601.830017,0.069743
606.840027,0.069284
611.849976,0.069455
616.859985,0.06872
621.859985,0.068232
626.869995,0.069313
631.880005,0.070169
636.890015,0.070555
641.900024,0.069486
646.909973,0.069792
651.919983,0.070102
656.929993,0.070111
661.929993,0.068805
666.940002,0.069137
671.950012,0.068692
676.960022,0.068015
681.969971,0.069316
686.97998,0.072963
691.98999,0.078985
696.98999,0.089773
702.0,0.099988
707.01001,0.111947
712.02002,0.123236
717.030029,0.137695
722.039978,0.151566
727.049988,0.15854
732.059998,0.165921
737.059998,0.170703
742.070007,0.1763
747.080017,0.178996
752.090027,0.182025
757.099976,0.183829
762.109985,0.185756
767.119995,0.18643
772.119995,0.18902
777.130005,0.189553
782.140015,0.190629
787.150024,0.191411
792.159973,0.192136
797.169983,0.194481
802.179993,0.195889
807.190002,0.195111
812.190002,0.195775
817.200012,0.198485
822.210022,0.197871
827.219971,0.199095
832.22998,0.198795
837.23999,0.199206
842.25,0.199139
847.25,0.199887
852.26001,0.200576
857.27002,0.20198
862.280029,0.201774
867.289978,0.202242
872.299988,0.201146
877.309998,0.202783
882.320007,0.202549
887.320007,0.203223
892.330017,0.203005
897.340027,0.201443
902.349976,0.205099
907.359985,0.203215
912.369995,0.205127
917.380005,0.205116
922.390015,0.204602
927.390015,0.2002
932.400024,0.208595
937.409973,0.217763
942.419983,0.209387
947.429993,0.208379
952.440002,0.207421
957.450012,0.203523
962.450012,0.205031
967.460022,0.206163
972.469971,0.205141
977.47998,0.205977
982.48999,0.205622
987.5,0.206638
992.51001,0.207847
997.52002,0.207836
1002.52002,0.209976
1007.530029,0.21189
